Accelerometer X,Accelerometer Y,Accelerometer Z
0.965,0.328,0.043
1.016,-0.629,2.133
0.273,-0.242,1.758
0.059,-0.086,1.246
0.012,-0.043,1.102
0,-0.031,1.07
0.004,-0.023,1.07
-0.004,-0.023,1.059
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.023,1.066
0,-0.023,1.063
0,-0.023,1.066
-0.004,-0.023,1.059
-0.004,-0.023,1.055
0,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.055
0,-0.023,1.059
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.059
-0.004,-0.023,1.059
-0.004,-0.023,1.059
-0.004,-0.023,1.059
-0.004,-0.02,1.059
-0.004,-0.02,1.063
-0.008,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.059
-0.004,-0.02,1.059
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.008,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.008,-0.023,1.066
-0.008,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.008,-0.016,1.059
-0.004,-0.012,1.066
-0.004,-0.02,1.059
-0.004,-0.023,1.063
0,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.008,-0.023,1.059
-0.004,-0.023,1.059
-0.004,-0.02,1.059
-0.004,-0.023,1.059
-0.004,-0.023,1.063
-0.004,-0.023,1.059
-0.004,-0.02,1.059
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.059
-0.008,-0.023,1.059
-0.008,-0.016,1.063
-0.004,-0.012,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.008,-0.02,1.059
-0.004,-0.02,1.059
-0.004,-0.02,1.055
-0.004,-0.023,1.059
-0.012,-0.02,1.063
-0.008,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.008,-0.023,1.063
-0.004,-0.023,1.063
0,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.066
0,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.066
0,-0.02,1.063
0,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.004,-0.023,1.066
0,-0.016,1.063
-0.004,-0.02,1.059
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.008,-0.02,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.063
0,-0.02,1.066
-0.004,-0.023,1.063
-0.008,-0.02,1.063
-0.004,-0.02,1.07
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.059
0,-0.02,1.066
0,-0.02,1.066
-0.008,-0.023,1.07
-0.008,-0.023,1.066
-0.008,-0.023,1.059
-0.004,-0.02,1.055
-0.004,-0.02,1.059
-0.004,-0.023,1.066
-0.008,-0.023,1.063
-0.004,-0.023,1.063
-0.008,-0.023,1.066
-0.004,-0.02,1.066
-0.008,-0.023,1.063
-0.008,-0.02,1.063
-0.004,-0.023,1.059
-0.004,-0.023,1.066
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.07
-0.004,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.008,-0.023,1.066
-0.004,-0.02,1.059
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.008,-0.02,1.063
-0.004,-0.016,1.063
-0.008,-0.016,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.008,-0.02,1.066
-0.008,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.066
-0.004,-0.023,1.063
0,-0.016,1.063
-0.004,-0.02,1.055
-0.004,-0.02,1.059
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.008,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.059
-0.004,-0.02,1.063
0,-0.02,1.063
0,-0.016,1.059
-0.004,-0.02,1.063
0,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.023,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.016,1.063
-0.008,-0.016,1.066
-0.004,-0.012,1.063
-0.004,-0.016,1.063
-0.008,-0.016,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.066
-0.004,-0.016,1.066
-0.008,-0.02,1.063
0,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.066
-0.008,-0.02,1.063
-0.008,-0.023,1.059
-0.008,-0.02,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.063
-0.004,-0.023,1.066
-0.004,-0.023,1.066
-0.004,-0.023,1.059
-0.004,-0.02,1.066
-0.004,-0.02,1.066
-0.004,-0.02,1.063
0,-0.02,1.066
0,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.008,-0.02,1.066
-0.008,-0.02,1.066
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.016,1.066
0,-0.016,1.063
0,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.059
-0.004,-0.016,1.063
-0.004,-0.023,1.063
-0.004,-0.02,1.066
-0.004,-0.02,1.063
-0.008,-0.02,1.063
-0.004,-0.023,1.063
-0.008,-0.023,1.063
-0.008,-0.023,1.063
-0.004,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.063
-0.004,-0.02,1.059
-0.004,-0.023,1.066
-0.004,-0.016,1.066
-0.004,-0.02,1.066
-0.004,-0.023,1.063
0,-0.023,1.066
-0.004,-0.023,1.07
-0.008,-0.02,1.07
-0.004,-0.02,1.063
-0.008,-0.023,1.066
0,-0.02,1.066
-0.004,-0.023,1.066
-0.004,-0.02,1.066
-0.008,-0.02,1.063
-0.004,-0.023,1.066
-0.004,-0.023,1.066
-0.004,-0.023,1.063
-0.008,-0.023,1.066
-0.004,-0.023,1.063
-0.004,-0.02,1.066
